File Name,Owner,repo,Language,Imports_ratio,DIT,COS,undirected_fcgc,directed_fcgc,cxc,directed_wcc,wcc,fdgc,achd,loc,avg_loc,function_count,avg_cyclomatic_complexity,IFC,bug
archiva-modules/archiva-base/archiva-common/src/main/java/org/apache/archiva/common/AbstractMapper.java,apache,apache_archiva,java,0.0,0.0018740629685157421,1,1.0,1.0,0,3.0,3.0,0.6666666666666666,0.3333333333333333,23,5.333333333333333,3,1.6666666666666667,0.0,0
archiva-modules/archiva-base/archiva-common/src/main/java/org/apache/archiva/common/ArchivaException.java,apache,apache_archiva,java,0.0,0.0018740629685157421,2,1.0,1.0,0,1.0,1.0,0.0,0.0,13,4.0,2,1.0,0.0,0
archiva-modules/archiva-base/archiva-common/src/main/java/org/apache/archiva/common/FileTypeUtils.java,apache,apache_archiva,java,0.0013908205841446453,0.0018740629685157421,2,0.0,0.0,0,0.0,0.0,0.0,0.0,9,0.0,0,0.0,0.0,1
archiva-modules/archiva-base/archiva-common/src/main/java/org/apache/archiva/common/ModelMapperFactory.java,apache,apache_archiva,java,0.0,0.0018740629685157421,2,1.0,1.0,0,1.0,1.0,0.0,0.0,5,0.0,0,0.0,0.0,0
archiva-modules/archiva-base/archiva-common/src/main/java/org/apache/archiva/common/MultiModelMapper.java,apache,apache_archiva,java,0.0,0.0018740629685157421,1,0.7777777777777777,1.0,0,9.0,6.999999999999999,0.4444444444444444,0.3333333333333333,18,3.0,2,1.0,2.111111111111111,0
archiva-modules/archiva-base/archiva-common/src/main/java/org/apache/archiva/common/Try.java,apache,apache_archiva,java,0.0006954102920723226,0.0018740629685157421,1,0.7696091190768648,1.0,0,13.0,10.004918547999244,0.6153846153846154,0.6153846153846154,102,3.4545454545454546,22,1.1363636363636365,0.0,0
archiva-modules/archiva-base/archiva-common/src/main/java/org/apache/archiva/common/package-info.java,apache,apache_archiva,java,0.0,0.0018740629685157421,1,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0
archiva-modules/archiva-base/archiva-common/src/main/java/org/apache/archiva/common/utils/BaseFile.java,apache,apache_archiva,java,0.0013908205841446453,0.0020614692653673165,5,1.0,1.0,0,4.0,4.0,0.25,0.0,62,5.428571428571429,7,1.1428571428571428,0.25,1
archiva-modules/archiva-base/archiva-common/src/main/java/org/apache/archiva/common/utils/DateUtil.java,apache,apache_archiva,java,0.002086230876216968,0.0020614692653673165,4,0.78309518948453,1.0,9,2.0,1.56619037896906,4.0,0.5,86,15.8,5,2.4,2.0,1
archiva-modules/archiva-base/archiva-common/src/main/java/org/apache/archiva/common/utils/FileStatus.java,apache,apache_archiva,java,0.0013908205841446453,0.0020614692653673165,1,1.0,1.0,0,4.0,4.0,0.0,0.0,31,4.4,5,1.0,0.0,0
archiva-modules/archiva-base/archiva-common/src/main/java/org/apache/archiva/common/utils/FileUtils.java,apache,apache_archiva,java,0.01043115438108484,0.0020614692653673165,8,1.0,1.0,11,10.0,10.0,0.2,0.1,169,13.636363636363637,11,3.1818181818181817,0.1,0
archiva-modules/archiva-base/archiva-common/src/main/java/org/apache/archiva/common/utils/IOStatus.java,apache,apache_archiva,java,0.0034770514603616135,0.0020614692653673165,1,0.7029137097789888,1.0,6,11.0,7.7320508075688785,1.0909090909090908,0.9090909090909091,71,5.454545454545454,11,1.6363636363636365,0.36363636363636365,0
archiva-modules/archiva-base/archiva-common/src/main/java/org/apache/archiva/common/utils/PathUtil.java,apache,apache_archiva,java,0.006258692628650904,0.0020614692653673165,9,0.5559041457756008,1.0,113,13.0,7.22675389508281,2.0,1.0769230769230769,352,7.333333333333333,9,2.111111111111111,5.0,1
